ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001628280-24-010956	2192530	Ordinary Shares				140346.0				D			
0001209191-24-004813	2190800	Common stock				1408.0				D		By Spouse	
0001209191-24-004813	2190801	Common stock				1150.0				I			
0001437749-24-007668	2191156	Common Stock				5259.0	F5			I		By ESOP	
0001437749-24-007668	2191157	Common Stock				1919.0	F5			I		By 401(k)	
0001104659-24-033997	2191243	Class A Common Stock				200000.0				I		By AJN Energy & Transport Ventures, LLC	
0001104659-24-033996	2190701	Class A Common Stock				130722.0				I		By SKW Financial LLC	
0000950170-24-030887	2190880	Common Shares				8827.0				I		By Trust	
0000950170-24-030880	2191104	Common Stock				400000.0				I		See footnote	F10
0000310764-24-000033	2191509	Common Stock				666.0				I		By 401K	
0001127602-24-010008	2191079	Common Stock				174241976.0				D			
0000950170-24-030871	2191512	Common Stock				37823617.0				I		See footnote	F6
0000905148-24-000931	2191061	Common Stock				1891063.0	F1			I		See footnotes	F3, F5, F4
0000089800-24-000070	2191795	Common Stock				366106.0	F2			D		401(k) Plan	
0000089800-24-000070	2191796	Common Stock				57652.48	F3			I			
0000310764-24-000032	2191591	Common Stock				2334.0				I		401K	
0001326160-24-000088	2190500	Common Stock				2346.0				I		By 401(k)	F2
0001127602-24-010006	2191444	Common Stock				367.56				I		Gallagher 401(k) plan account	
0001326160-24-000086	2192295	Common Stock				3436.0				I		By 401(k)	F3
0001264840-24-000002	2191677	Common Stock				4908.0				I	F3	Trust Beneficiary	
0001264840-24-000002	2191676	Common Stock				3258.0				I	F2	Trustee	
0001264840-24-000002	2191675	Common Stock				11487.0				I	F1	TTEE/Beneficiary	
0001264840-24-000002	2191674	Series B 5.95% Preferred Stock				4000.0				I	F2	Trustee	
0001127602-24-010004	2191181	Common Stock				1000.0				I		By Esop	
0001127602-24-010004	2191184	Common Stock				22460.0				I		By Trust: Mary S Hunt Trust	
0001127602-24-010004	2191187	Common Stock				395989.0				I			
0001127602-24-010004	2191186	Common Stock				290397.0				I		Held by Pioneer Service Corporation	
0001127602-24-010004	2191182	Common Stock				2259.29				I		By Son - Custodial Brokerage Account	
0001127602-24-010004	2191185	Common Stock				12558.0				I		Held by Kemper Realty	
0001127602-24-010004	2191180	Common Stock				257796.22				D		By Daughter - Custodial Brokerage Account	
0001127602-24-010004	2191183	Common Stock				1000.0				I		By Trust - TUW RC Kemper For John Mariner	
0001326160-24-000084	2190406	Common Stock				5165.0				I		401(k)	F2
0000310764-24-000031	2190464	Common Stock				372.0				I		By 401K	
0001127602-24-010003	2192226	Common Stock				395989.0				I			
0001127602-24-010003	2192225	Common Stock				290397.0				I		Held by Pioneer Service Corporation	
0001127602-24-010003	2192224	Common Stock				12558.0				I		Held by Kemper Realty	
0001127602-24-010003	2192223	Common Stock				22460.0				I		By Trust: Mary S Hunt Trust	
0001127602-24-010003	2192222	Common Stock				1000.0				I		By Trust - TUW RC Kemper For John Mariner	
0001127602-24-010003	2192221	Common Stock				2259.29				I		By Son - Custodial Brokerage Account	
0001127602-24-010003	2192220	Common Stock				1000.0				I		By Esop	
0001127602-24-010003	2192219	Common Stock				257796.22				D		By Daughter - Custodial Brokerage Account	
0001326160-24-000082	2191541	Common Stock				305.0				I		By 401(k)	F2
0001127602-24-009999	2191386	Common Stock				290397.0				I		Held by Pioneer Service Corporation	
0001127602-24-009999	2191387	Common Stock				395989.0				I			
0001127602-24-009999	2191384	Common Stock				1000.0				I		By Trust: Mary S Hunt Trust	
0001127602-24-009999	2191385	Common Stock				12558.0				I		Held by Kemper Realty	
0001127602-24-009999	2191381	Common Stock				257796.22				D		By Daughter - Custodial Brokerage Account	
0001127602-24-009999	2191382	Common Stock				1000.0				I		By Esop	
0001127602-24-009999	2191383	Common Stock				2259.29				I		By Son - Custodial Brokerage Account	
0000897069-24-000677	2191428	Common Stock				3624.17				I		By 401(k) Plan	
0000897069-24-000677	2191427	Common Stock				131034.0				I		By Robert L. McCormick Revocable Trust	
0000014693-24-000018	2191322	Class B Common				0.71				I		DRIP	F2
0000950170-24-030845	2191327	Class A Common Stock				19637.0				I		By spouse	
0000949157-24-000024	2191170	Common Stock				34507.0	F1			D			
0000310764-24-000030	2192765	Common Stock				117.0				I		401(k)	
0001127602-24-009997	2191553	Common Stock				1000.0				I		By Trust: Mary S Hunt Trust	
0001127602-24-009997	2191555	Common Stock				290397.0				I		Held by Pioneer Service Corporation	
0001127602-24-009997	2191556	Common Stock				395989.0				I		By Trust - RC Kemper Irrevocable Trust	
0001127602-24-009997	2191557	Common Stock				1771004.0				I			
0001127602-24-009997	2191554	Common Stock				12558.0				I		Held by Kemper Realty	
0001127602-24-009997	2191550	Common Stock				257796.22				D		By Daughter - Custodial Brokerage Account	
0001127602-24-009997	2191552	Common Stock				2259.29				I		By Son - Custodial Brokerage Account	
0001127602-24-009997	2191551	Common Stock				1000.0				I		By Esop	
0001225208-24-004200	2191064	Series C Liberty Live Common Stock				97007.0				I		Maven 2017 - 2 GRAT	
0001437749-24-007661	2191687	Common Stock				15.0	F4			I		By 401(k)	
0001871002-24-000006	2191432	Common Stock				49679.0				D			
0000950170-24-030838	2191124	Common Stock				3068951.0				D		See Footnote	F3
0000950170-24-030838	2191125	Common Stock				30127177.0				I			
0001127602-24-009994	2191519	Common Stock 401k				19879.14				I		401k	
0001628280-24-010934	2192442	Common Stock				100.0				I		By wife	
0001437749-24-007657	2191229	Common Stock				221.0	F3			I		By 401(k)	
0000310764-24-000029	2191513	Common Stock				151.0				I		By 401K	
0001437749-24-007654	2190537	Common Stock				7800.0				I		By IRA	
0001019056-24-000126	2191349	Common Stock, no par value per share				956223.0				I		Juniper Targeted Opportunities L.P.	F1
0001019056-24-000126	2191350	Common Stock, no par value per share				2363311.0				I		Juniper Targeted Opportunity Fund, L.P.	F2
0001437749-24-007649	2190812	Common Stock				222.0	F3			D		By IRA	
0001437749-24-007649	2190813	Common Stock				1000.0				I			
0001100555-24-000004	2192344	Class B Common Stock	F1			9419827.0				I			
0001100555-24-000004	2192343	Class B Common Stock	F1			2913005.0				I		by Pascal Family Trust	
0001100555-24-000004	2192341	Class A Common Stock				226371.0				D		by Pascal Family Trust	
0001100555-24-000004	2192342	Class B Common Stock	F1			327469.0				D		by DreamStreet Holdings, LLC	
0001100555-24-000004	2192345	Class A Common Stock				406300.0				I			
0000310764-24-000028	2191664	Common Stock				1597.0				I		By 401K	
0001870484-24-000003	2191752	Class A Common Stock				157179.0				D			
0001356746-24-000002	2192263	Class A Common Stock				6076.0				I		By Spouse	F6
0001356746-24-000002	2192262	Class A Common Stock				441403.0	F1			I		by Scott E Peterson Trust	
0001038357-24-000030	2190446	Common Stock				370.0				I		401(k)	F2
0001437749-24-007637	2191801	Common Stock				1530.0	F5			I		By 401(k)	
0000310764-24-000027	2192285	Common Stock				508.0				I		By Son AP	
0000310764-24-000027	2192286	Common Stock				1524.0				I		By 401K	
0000310764-24-000027	2192284	Common Stock				508.0				I		By Son GP	
0001104659-24-033960	2191258	Common Stock, par value $0.01				1211.0				I		Held as custodian for his daughter Anne Weber	
0001104659-24-033960	2191261	Common Stock, par value $0.01				1211.0				I		Held by son Nathan Weber	
0001104659-24-033960	2191259	Common Stock, par value $0.01				1211.0				I		Held as custodian for his daughter Janet Weber	
0001104659-24-033960	2191260	Common Stock, par value $0.01				1211.0				I		Held as custodian for his son Steven Weber	
0000006281-24-000067	2191084	Comm Stock-$.16-2/3 value				55000.0				I	F2	Vincent Roche 2023 Grantor Retained Annuity Trust	
0001062993-24-006330	2191225	Common Stock				186617.0				I		By Spouse*	
0001455863-24-000024	2190817	Common Stock				2564.0				D			
0001104659-24-033955	2191584	Common Stock, par value $0.01 per share				40000.0	F2			I		By: The KFT DT LLC	
0001104659-24-033955	2191583	Common Stock, par value $0.01 per share				100000.0	F2			I		By: The KFT 2018 NY Trust	
0001127602-24-009988	2192745	Common Stock				194175.0				I		By Trust	
0000950170-24-030814	2192246	Common Stock				14797.0				I		The Colin M. Angle 2011 Trust	F3
0001127602-24-009987	2191698	Common Stock				798.0				I		By 401(k)	
0001127602-24-009986	2190986	Common Stock				171323.0				I		By LLC BN	F7
0001127602-24-009986	2190987	Common Stock				115840.0				I		By LLC NE	F7
0001127602-24-009986	2190988	Common Stock				171324.0				I		By LLC NN	F7
0001127602-24-009986	2190989	Common Stock				115840.0				I		By LLC ZE	F7
0001127602-24-009986	2190990	Common Stock				171324.0				I		By LLC ZN	F7
0001127602-24-009986	2190985	Common Stock				115840.0				I		By LLC BE	F7
0001415889-24-007810	2191138	Common Stock				1000000.0				I		See footnote	F3
0001127602-24-009984	2192552	Common Stock				7954.0				I		By 401(k)	
0000310764-24-000026	2191237	Common Stock				1518.0				I		By 401K	
0001415889-24-007804	2190852	Common Stock				148670.0				I		By Children's Trust	F1
0001415889-24-007804	2190853	Common Stock				148670.0				I		By Children's Trust	F2
0001628280-24-010906	2190778	PepsiCo, Inc. Common Stock				1320.0				I		By Family Trust	
0001043337-24-000043	2191593	Common Shares, without par value				76714.0				I		By Trust	
0001043337-24-000043	2191592	Common Shares, without par value				62500.0				I		By IRA	
0001127602-24-009982	2191447	Common Stock				10000000.0				I	F1	By Marc Benioff Fund LLC	
0001284812-24-000144	2191640	Common Stock				881747.0				D			
0001437749-24-007630	2190982	Common Stock				5177.55				I		401(k) plan	
0001062993-24-006323	2191295	Common Stock				1233.0				I		By Retirement Savings Plan Trust	
0001104659-24-033929	2191470	Common Stock, par value $0.0001 per share				0.0				D			
0001437749-24-007625	2192837	Common Stock				8357.48				I		401(k) plan	
0000320121-24-000015	2191279	Common Stock				70063.09				D		Held in 401(k)	
0000320121-24-000015	2191280	Common Stock				4017.63				I			
0000320121-24-000014	2191613	Common Stock				1615.01				I			
0000320121-24-000014	2191612	Common Stock				39852.0				D		Held in 401(k)	
0000950170-24-030769	2192240	Common Stock				87990.0				D			
0001049782-24-000015	2191527	Common				3099.0				I		By ESOP	
0000950170-24-030763	2191577	Common Stock				65229.0				D			
0001073397-24-000002	2191221	Common Stock				886843.0				I		by Partnership	
0000950170-24-030761	2191799	Common Stock				468262.0				I		By the Jaime Mateus-Tique 2005 Irrevocable Trust	
0000950170-24-030761	2191798	Common Stock				153660.0				D		By the Em El 2007 Irrevocable Trust	
0000950170-24-030761	2191800	Common Stock				163208.0				I			
0001049782-24-000013	2192654	Common				85873.0	F1, F2			D		By ESOP	
0001049782-24-000013	2192655	Common				3099.0				I			
0001127602-24-009980	2191282	Common Stock				12197.12				I		by 401(k) Plan	
0001562180-24-002656	2192675	Common Stock				674729.0				I		Spouse is Trustee of The Petrie Grandchildren Trust	
0001562180-24-002656	2192673	Common Stock				1425000.0				I		Spouse is Trustee of the Julia L. Petrie Irrevocable GST Trust 2010	
0001562180-24-002656	2192674	Common Stock				2482616.0				I		Spouse is Trustee of the Julia L. Petrie Irrevocable Trust - 2010	
0001562180-24-002656	2192676	Series B Depositary Shares				21021.0				D			
0001562180-24-002656	2192672	Common Stock				3587034.0				I		Spouse is Trustee of the Emily J. Petrie Irrevocable Trust - 2010	
0001562180-24-002656	2192677	Series C Depositary Shares				100000.0				D			
0001562180-24-002656	2192671	Common Stock				1425000.0				I		Spouse is Trustee of the Emily J. Petrie Irrevocable GST Trust 2010	
0000950170-24-030756	2190506	Common Stock				8946.0				D			
0000950170-24-030753	2191360	Common Stock				35285.0				D			
0001683695-24-000070	2191400	Common Stock				322531.0				I	F5	By: Hawk Time Enterprises LLC	
0001683695-24-000070	2191399	Common Stock				339032.0	F3			I	F4	By: Robert Lisy Revocable Living Trust	
0000950170-24-030748	2190658	Class A Common Stock				100.0				I		By son	
0001562180-24-002655	2190814	Common Stock				6728.0	F1			D			
0001287032-24-000088	2190408	COMMON STOCK				74237.12				D			
0001591698-24-000075	2191347	Common Stock, par value $0.001				25822.0				D	F12		
0000950159-24-000114	2191046	Common Stock				2409.0				I		By Daughter	
0000950159-24-000114	2191047	Common Stock				1740.0				I		By Daughter	
0000879635-24-000042	2190532	Mid Penn Bancorp, Inc. Common Stock				14406.18	F1			D			
0000879635-24-000042	2190531	Mid Penn Bancorp, Inc. Common Stock				2500.0				I		By John Noone SEP IRA	
0000879635-24-000042	2190530	Mid Penn Bancorp, Inc. Common Stock				1200.0				I		IRA	
0000879635-24-000042	2190533	Mid Penn Bancorp, Inc. Common Restricted Stock				1760.0	F2			D			
0000950170-24-030711	2191023	Class A Common				10858.0	F2			I		Spouse as beneficiary of trust	
0000950170-24-030711	2191024	Class A Common				6106.0				I		PMB Investments, LLC	
0000950170-24-030711	2191025	Class A Common				2154.0				I		CRB Investments, LLC	
0000950170-24-030711	2191026	Class A Common				2045.0				I		EHB Investments, LLC	
0000950170-24-030711	2191027	Class A Common				19041.0				I		As trustee for PMB Trust 2011	
0000950170-24-030711	2191028	Class A Common				19041.0				I		As trustee for CRB Trust 2011	
0000950170-24-030711	2191029	Class A Common				19041.0				I		As trustee for EHB Trust 2011	
0000950170-24-030711	2191030	Class B Common				538.0				I		As Trustee for Peter M. Bristow 2nd Amdended and Restated Trust	
0000950170-24-030711	2191031	Class B Common				43694.0	F2			I		Claire Holding Bristow 2nd Amended and Restated Trust	
0000950170-24-030711	2191032	Class B Common				40014.0				I		As Trustee for Claire H. Bristow 2020 GRAT Family Trust	
0000950170-24-030711	2191033	Class B Common				1250.0	F2			I		Spouse as beneficiary of trust	
0000950170-24-030711	2191034	Class B Common				8350.0				I		PMB Investments, LLC	
0000950170-24-030711	2191035	Class B Common				8850.0				I		CRB Investments, LLC	
0000950170-24-030711	2191036	Class B Common				8710.0				I		EHB Investments, LLC	
0000950170-24-030711	2191037	Depositary Shares	F3			41285.0	F2			I		Claire Holding Bristow 2nd Amended and Restated Trust	
0000950170-24-030711	2191022	Class A Common				12152.0	F2			I		Spouse as co-trustee for Peter McDonald Bristow 2019 Irrevocble Family Trust	
0000950170-24-030711	2191021	Class A Common				42078.0				I		As Trustee for Claire H. Bristow 2020 GRAT Family Trust	
0000950170-24-030711	2191020	Class A Common				8759.0				I		As Trustee for Peter M. Bristow 2nd Amdended and Restated Trust	
0000950170-24-030711	2191018	Class A Common				30000.0	F2			I		By Spouse	
0000950170-24-030711	2191019	Class A Common				14500.0				I		As Trustee for Claire Holding Bristow 2018 Irrevocable Family Trust	
0001850778-24-000005	2190639	Common Stock				359.0				I		Held in F&M Bank Corp. Employee Stock Ownership Plan	
0000752642-24-000020	2192377	UMH Properties, Inc.				112849.0				I		The Sheltered Family Trust	
0000752642-24-000020	2192378	UMH Properties, Inc.				152880.0				I		Eugene W. and Gloria Landy Family Foundation	
0000752642-24-000020	2192380	UMH Properties, Inc.				42912.51				I		Landy & Landy Employees' Profit Sharing Plan	
0000752642-24-000020	2192379	UMH Properties, Inc.				33561.29				I		Landy & Landy Employees' Pension Plan	
0001127602-24-009970	2192216	Common Stock				53.0				I	F3, F4	By Trust	
0001127602-24-009970	2192217	Common Stock				269.0				I	F5, F4	By Trust	
0000084839-24-000053	2192760	Common Stock				366.0				D	F3		
0000084839-24-000053	2192759	Common Stock				4697.0				I		By: 401(k)	
0001104659-24-033863	2190749	Common Stock				7194.0	F1			D			
0001415889-24-007763	2191168	Common Stock				5639.0				I		Please see footnote	F3
0001437749-24-007593	2192752	Common Stock				60.0	F1			I		Spouse	
0001437749-24-007593	2192751	Common Stock				5549.0	F1			I		CDK Fund Ltd	
0001437749-24-007593	2192750	Common Stock				2484.0	F1			I		CDK Partners LP	
0001437749-24-007593	2192749	Common Stock				1472.0	F1			I		Horizon Kinetics Hard Assets II LLC	
0001437749-24-007591	2192742	Common Stock				8.0	F1, F2			I		Horizon Kinetics Asset Management LLC	
0001683168-24-001452	2190984	Common Stock				4.0				I			
0001683168-24-001452	2190983	Common Stock				1000337.0				D		Held by 2007 Thompson Family Trust	
0001014100-24-000006	2192598	Common Stock				4.99				I		By 401(k) plan	
0001014100-24-000005	2190510	Common Stock				872.37				I		By 401(k) plan	
0001014100-24-000005	2190509	Common Stock				81.27				I		By spouse by UTMA custodian for son	
0001876945-24-000012	2190521	Common Stock				147872.0				D			
0001209191-24-004809	2191300	Common Stock				20704.0				D		By ESOP	
0001209191-24-004809	2191301	Common Stock				19203.0				I			
0001127602-24-009956	2190677	Common Stock				651619.0				I		By Avanti Holdings, LLC	F1
0001127602-24-009952	2192340	Common Stock				195042.0				I		By Hilton Family Trust	F2
0001127602-24-009939	2192701	Common Stock				530.0				I		Shares Held by Spouse	
0001014108-24-000012	2191269	Registered Shares				96600.0				I		By CLATs	F4
0001014108-24-000012	2191271	Registered Shares				394478.0				I			
0001014108-24-000012	2191270	Registered Shares				9223049.0				I		By LLCs	F5
0001014108-24-000012	2191268	Registered Shares				233400.0				I		By trust	
0001014108-24-000012	2191267	Registered Shares				8052.0	F1			D		By GRATs	F2
0001415889-24-007757	2192843	Common Stock				567439.0				I		Held in Partnership	
0001415889-24-007757	2192842	Common Stock				1814554.0				D			
0000714310-24-000071	2190728	Common Stock (IRA)				35000.0				D			
0000108985-24-000021	2190411	Common Stock				95.36	F1			I		by child	
0000950170-24-030559	2192207	Common Stock				1209.33				I		Spouse Trust	
0000824142-24-000067	2192386	Common Stock, par value $.004				1887.0				I		401(k) Plan	
0000824142-24-000065	2191318	Common Stock, par value $.004				10697.0				I		401(k) Plan	
0000950170-24-030557	2190787	Common Stock, $0.01 par value				29600.0				I		Trusts for children	F1
0000950170-24-030557	2190786	Common Stock, $0.01 par value				1100.0				I		By Spouse	
0000950170-24-030557	2190788	Common Stock, $0.01 par value				350.0				I		Through 401(k) Plan	
0001127602-24-009932	2191670	Common				13303.79				I		401(k) Plan	
0000950170-24-030556	2190610	Common Stock				1000.0				I		By Spouse 401k	F3
0000950170-24-030556	2190611	Common Stock				1000.0				I			
0000950170-24-030556	2190609	Common Stock				3949.33	F1			D		401k	F3
0000824142-24-000063	2191348	Common Stock, par value $.004				3417.0				I		401(k) Plan	
0000824142-24-000061	2191209	Common Stock, par value $.004				2105.0				I		401(k) Plan	
0001127602-24-009930	2192471	Common				15440.47				I		401(k) Plan	
0001127602-24-009930	2192473	Common				69811.1				I		Husband's Trust	F2
0001127602-24-009930	2192472	Common				19108.0				I		Husband's Common	
0000950170-24-030553	2190505	Common Stock				4486.5	F1			I		By 401(k) Plan	F2
0000824142-24-000059	2190738	Common Stock, par value $.004				1126.0				I		401(k) Plan	
0000824142-24-000057	2192218	Common Stock, par value $.004				3612.0				I		401(k) Plan	
0001127602-24-009928	2191510	Common				112.82				I		401(k)	
0000824142-24-000055	2192581	Common Stock, par value $.004				1687.0				I		401(k) Plan	
0000824142-24-000053	2191617	Common Stock, par value $.004				5390.0				I		401(k) Plan	
0000824142-24-000053	2191616	Common Stock, par value $.004				6750.0				I		Custodian for the benefit of his grandchildren	
0000824142-24-000050	2190859	Common Stock, par value $.004				10734.0				I		401(k) Plan	
0000824142-24-000050	2190857	Common Stock, par value $.004				231000.0				I		Private Foundation	
0000824142-24-000050	2190858	Common Stock, par value $.004				13375375.0				I		Trustee of trusts	
0001209191-24-004807	2191738	Common Stock				1175.0				I		By 401(k) Plan	F1
0001466593-24-000059	2192681	Common Stock				194649.0	F2			D		by Spousal Lifetime Access Trust	
0001466593-24-000059	2192682	Common Stock				75459.0				I		by ESOP	
0001466593-24-000059	2192683	Common Stock				2923.0				I			
0001289848-24-000079	2192336	Common Stock				3855.0				I		By Family LLC	
0001127602-24-009917	2190837	Common Stock				3474.0				I		401(k) Plan	
0001127602-24-009915	2190704	Common Stock				3274.0				I		401(k) Plan	
0001628280-24-010798	2190612	Class A Common Stock				110704.0				I		By Cohn Family Investments Trust dtd 5/24/18	
0001628280-24-010798	2190613	Class A Common Stock				110704.0				I		By Cohn Family Trust 5/24/18	
0001628280-24-010798	2190614	Class A Common Stock				9258298.0	F3			D			
0001127602-24-009908	2192259	Common Stock				102.67	F1			I		The Toro Company Retirement Plan	
0001127602-24-009908	2192260	Performance Share Units				730.39	F2			D			
0000899243-24-000178	2191044	Class A Common Stock				39655.0				I		By Family Trust	
0000950170-24-030474	2191266	Common Stock				2400.0				I		by dependents	
0000950170-24-030472	2191848	Common Stock				1471250.0	F3			I		By spouse as co-trustee of a trust	
0000950170-24-030472	2191849	Common Stock				1839063.0	F4			I		as trustee of a trust	
0000950170-24-030472	2191850	Common Stock				408816.0	F4			I		as co-trustee of a trust	
0000950170-24-030472	2191847	Common Stock				1605000.0	F3			I		By spouse	
0000014272-24-000078	2191038	Common Stock, $0.10 par value				4292.64	F7			I		BMS Savings and Investment Program	
0000014272-24-000078	2191039	Common Stock, $0.10 par value				5257.88				I		By Spouse	
0001628280-24-010755	2191654	Common Stock				22595.09	F1			D			
0000950170-24-030463	2190460	Common Stock				2551520.0				I		By Trust	F3
0000902664-24-002403	2191205	"Common stock, par value $0.001 per share (""Common Stock"")"				1094000.0				I		See footnotes	F3, F1, F2
0000902664-24-002403	2191206	Common Stock				500000.0				I		See footnotes	F4, F1, F2
0001610618-24-000017	2190636	Common Stock				42009.0				I		By son	
0001610618-24-000017	2190635	Common Stock				331602.0				I		By trust	
0001610618-24-000016	2191106	Common Stock				1484.0				I		By spouse	
0000950170-24-030450	2192425	Common Stock				589002.0				I		By Trust	F7
0000950170-24-030450	2192426	Common Stock				589002.0				I		By Trust	F8
0000950170-24-030450	2192424	Common Stock				589002.0				I		By Trust	F6
0000950170-24-030450	2192423	Common Stock				589002.0				I		By Trust	F5
0000950170-24-030450	2192422	Common Stock				589002.0				I		By Trust	F4
0000950170-24-030450	2192421	Common Stock				589002.0				I		By Trust	F3
0000950170-24-030450	2192427	Common Stock				589002.0				I		By Trust	F9
0000950170-24-030450	2192428	Common Stock				589002.0				I		By Trust	F10
0000950170-24-030450	2192429	Common Stock				589002.0				I		By Trust	F11
0000950170-24-030450	2192430	Common Stock				589002.0				I		By Trust	F12
0000950170-24-030446	2190637	Common Stock				1089726.0	F2			I		By the Eric Stang & Pamela Stang TR UA 09/02/2004 Stang Family Trust	F3
0000014272-24-000076	2191515	Common Stock, $0.10 par value				7285.12	F7			I		BMS Savings and Investment Program	
0000014272-24-000076	2191516	Common Stock, $0.10 par value				93436.0	F8			I		Trust (SLAT)	
0001819493-24-000030	2192692	Common Stock				5626.0				I		GenFleet LLC	F4
0001819493-24-000030	2192693	Common Stock				1791530.0				I		Emerald Green Trust	F5
0000950170-24-030433	2190501	Common Stock				1476.53				I		By 401(k) Plan	
0001140361-24-012895	2190862	Class A Common Stock				100002.0				I		By Jing Chen, wife of David H. Wang	
0001140361-24-012895	2190863	Class A Common Stock				45837.0				I		By Sophia Wang, daughter of David H. Wang	
0001140361-24-012895	2190865	Class A Common Stock				620001.0				I		By Wang-Chen Family Living Trust	
0001140361-24-012895	2190864	Class A Common Stock				180000.0				I		By David Hui Wang and Jing Chen Family Irrevocable Trust for Wang Children	
0001600641-24-000034	2192306	Common Stock				665302.0				I		By 2012 David Rosenblatt Family Trust dtd 11/30/2012	
0001600641-24-000034	2192305	Common Stock				22500.0				I		By 2012 Laura T. Rosenblatt Family Trust dtd 12/4/2012	
0001209191-24-004802	2192609	Common Stock				5012.0				I		By Trust	F3
0000014272-24-000074	2190881	Common Stock, $0.10 par value				1656.84	F7			I		BMS Savings and Investment Program	
0000014272-24-000074	2190882	Common Stock, $0.10 par value				200.0	F8			I		Family Trust	
0001574197-24-000046	2192294	Class A common shares				226232.0				I		By trust	
0001574197-24-000042	2190515	Class A common shares				55070.0				I		By trust	F3
0001574197-24-000040	2191505	Class A common shares				58471.0				I		By trust	
0001574197-24-000038	2192838	Class A common shares				20000.0				I		By Trust	
0000950170-24-030411	2191397	Common Stock				96.89				I		By 401(k) Plan	
0001415889-24-007747	2190932	Class A Common Stock				20733625.0	F5			I		See Footnote	F8
0001415889-24-007747	2190930	Class A Common Stock				20823993.0	F5			I		See Footnote	F6
0001415889-24-007747	2190931	Class A Common Stock				53487.0	F5			I		See Footnote	F7
0001562180-24-002635	2192369	Common Stock				259864.0				I		By the Wolff Family Trust	
0000014272-24-000072	2190385	Common Stock, $0.10 par value				164.33	F7			I		BMS Savings and Investment Program	
0001574197-24-000034	2191420	Class A common shares				28841.0				I		By trust	F2
0000950170-24-030408	2190900	Common Stock				35.7				I		By 401(k) Plan	
0000950170-24-030390	2191371	Common Stock				2012.95				I		By 401(k) Plan	
0000950170-24-030385	2191146	Common Stock				1043.33				I		By 401(k) plan	
0000950170-24-030378	2190423	Common Stock				1204.63				I		By 401(k) plan	
0000950170-24-030373	2192772	Subordinate Voting Shares				5772.0				I		Thronson Family Trust UA	
0000950170-24-030366	2192287	Common Stock				1545.0				D			
0001599901-24-000042	2190562	Common Stock				273872.0				I		By family trust	
0000950170-24-030358	2192724	Common Stock				5847.37				D			
0001713683-24-000045	2191642	Commom Stock				116900.0	F1			D			
0000950170-24-030330	2191611	Common Stock				1072.0				D			
0001828972-24-000030	2191734	Class A Common Stock				2300.0				I		By spouse	F3
0000950170-24-030325	2191353	Common Stock				3324.0				D			
0001651944-24-000023	2191169	Common Stock				275051.0	F1			D			
0001225208-24-004176	2192584	Common Stock				1228726.0				I		By The Anthony M. Jabbour 2019 Dynasty Trust	
0001225208-24-004176	2192587	Common Stock				350000.0				I		The JPM Foundation	
0001225208-24-004176	2192586	Common Stock				2650000.0				I		The Anthony M. Jabbour 2023 Grantor Retained Annuity Trust	
0001225208-24-004176	2192585	Common Stock				868039.0				I		By The Anthony M. Jabbour Living Trust	
0001225208-24-004175	2192235	Common Stock				29000.0				I		By The Percy Stewart Trust	
0001225208-24-004173	2192500	Common Stock				10609644.0				I		By Bilcar, LLC	
0001225208-24-004172	2191843	Common Stock				10885403.0				I		By CC Star Holdings, LP.	
0001225208-24-004169	2192823	Common Stock				2907.0				I		Alemany August 2022 GRAT #2	
0001225208-24-004169	2192824	Common Stock				13240.0				I		Alemany March 2024 GRAT No 3	
0001171843-24-001307	2191761	Common Stock				11742.0	F10			I		Revocable Trust	
0000950170-24-030311	2190734	Common Stock				211.0				I		See footnote	F5
0001104659-24-033601	2190825	Class A Common Stock				83000.0				I		Held by the Robins Family GST Trust 2021	
0001562180-24-002624	2190659	Common Stock				371629.0				I		GRAT	F5
0000027419-24-000025	2192238	Common Stock				455.93	F2			I		By 401(k) Plan	
0000027419-24-000025	2192239	Common Stock				71094.0	F3			D			
0001628280-24-010705	2191103	Common Stock,  $0.0001 par value per share				10101.0				D			
0001104659-24-033593	2192605	Common Stock				63990.0				D			
0001104659-24-033592	2192834	Class A Common Stock				130000.0				I		See Footnote	F2
0000899140-24-000300	2191485	Common Stock				22539.0				I		See footnotes	F1, F7
0001876945-24-000010	2192297	Common Stock				147872.0				D			
0000950170-24-030277	2190981	Common Stock				11051.0				I		By the Tamer Ibrahim Ahmed Khayal Trust	
0000950170-24-030277	2190980	Common Stock				14776.0				I		By the Khayal Family 2021 Irrevocable Trust	
0001335786-24-000003	2190848	Common Stock				13105.0				I		by trust	
0001082440-24-000003	2191518	Common Stock				60633.0	F2			D			
0001050915-24-000062	2192519	Common Stock				20000.0				I		by Redgie Probst Trust	
0001585521-24-000046	2192720	Class A Common Stock				2000.0				I		By Harshini Velchamy	
0001585521-24-000046	2192722	Class A Common Stock				2000.0				I		By Ashwini Velchamy	
